ID,Language_ID,Headword,Part_Of_Speech,Acquisition_Method,Etymology,Media_IDs,Phonological_Representation,Variant_Form
aah,mue,aah,interjection,Conversations,Spanish/Quichua,c80832a84df98518dd500c3251ae31cd,'a,
abajo,mue,abajo,adverb,Elicitations,Spanish,ce759016dcac83f612501e930aa11df0,a'baxo,abaju
abansana,mue,abansana,verb,Elicitations,Spanish,d2dea92d761663b71dd275c6a729bd46,aban'sana,avansana
Abatac,mue,Abatac,noun,Stories and Traditions from Pijal,unknown,41c12a5be902822e4640f407a58a6ba0,a'batak,Abata; Abatan
abeja,mue,abeja,noun,Elicitations,Spanish,44d6421774d3e219925f0f4a81e00f4c,a'bexa,
abena,mue,abena,noun,Conversations,Spanish,3f0ee24cf4ba10e7d84c84f9cf2a6494,a'bena,
abentador,mue,abentador,noun,Elicitations,Spanish,100723621cb00bd2e30e025c6878f6d5,aben'tadoɾʃ,
abentana,mue,abentana,verb,Conversations,Spanish,c50538a294b9cd7d05c270ab9bd40d2a,aben'tana,aventana
abeuras,mue,abeuras,adverb,Conversations,Spanish,b68bb39c634e6a886b3c1e0373e6f977,a'beuɾas,
abierto,mue,abierto,adjective,Conversations,Spanish,a431088c5d92966c32692a86df88a92c,a'bieɾʃto,
Abijo_Pata,mue,Abijo Pata,noun,Conversations,unknown,65ff7cf250722d7a1438c35546511b91,abixo'pata,Abijo
abil,mue,abil,adjective,Elicitations,Spanish,1cc162a7f0c2bb10b221f347b142b6b1,'abil,
abina,mue,abina,verb,Conversations,Spanish,561c2430c12b73f8404d4d5a3f166166,a'bina,abina; abena; habina; abina; habina; jabena; jabina; avena; habena
abisana,mue,abisana,verb,Conversations,Spanish,3bb38c8b8718c7a078497e3091607b3d,abi'sana,
abita,mue,abita,noun,Conversations,Spanish,b05072651bb71e7f49d3a6fe8576976d,a'bita,habita
abitacion,mue,abitacion,noun,Conversations,Spanish,95d8e9e1242a9e48f6355ac5f4a74098,abi'tasion,abitasion
abono,mue,abono,noun,Elicitations,Spanish,2398f41b6cc2a34dd90f74ecc5261196,a'bono,
aborri,mue,aborri,adjective,Stories and Traditions from Pijal,Spanish,c6e47cbd3135627f9487a4789b55c859,a'boʐi,abori
aborrina,mue,aborrina,verb,Stories and Traditions from Pijal,Spanish,51c0b4f5d6b6d270ed39f83b13ad603a,abo'ʐina,aburina
