ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Sense_IDs
XV000001,mue,"Aah, toncesca asichu carca pai bien durumi cashca patroncunaca, no?",,,"Ah yes, that’s the way the landowners were; they were quite harsh.",,,SN000001
XV000002,mue,Planta nacionalpash limpio acabarishca abajocunatapash pero nuestropaglla acabarirca asi planta mala venijun plantallapita todito.,,,"Even local endemic plants were completely killed off by the disease, in the community ours were killed off as well because we were solid diseased plants without knowing.",,,SN000002
XV000003,mue,Como aura estudianajun otrocunaca ya colegiomanta ya abansan universidadman asi.,,,"Now, since they're studying and others that are in high school are going to University.",,,SN000003
XV000004,mue,Abatamantapash ya asillata genteca salin todito comunidadmantami salin.,,,Everyone from the community makes their way to Abata as well.,,,SN000004
XV000005,mue,Picangalla haypimary habin abeja.,,,There are bees over there; they might sting us.,,,SN000005
XV000006,mue,Abenacunatami dajun.,,,They're known to give oats.,,,SN000006 ; SN003182
XV000007,mue,Miyo aguelaca abentadortamy ocupajun tulpata prendingapaca.,,,My grandma uses the fan to start the wood stove.,,,SN000007 ; SN003001
XV000008,mue,Aimanta abentana tucun.,,,"From there, one needs to fan the fire.",,,SN000008
XV000009,mue,Arshto aguaceru abeuras.,,,"During this season, there's a lot of rain.",,,SN000009
XV000010,mue,Tambien porsiacaso quirishpaca puertasca abiertomi capan igresanallami pero todo cuotasconata trabajucuna igualarishpa.,,,"And just in case, for those that want to participate our doors are always open, just as long as monthly quotas are met and they work.",,,SN000010
XV000011,mue,Auracaren ese pata patahuataca ashta maizca huapo maiz carca linfiota rrobashca arriba abijo patapi.,,,"Now, on that side of Pata, the corn was beautiful, but it was all stolen; up there in Pata.",,,SN000011
XV000012,mue,Aquipi huarmicunaca bien abilcunami.,,,"Here in Pijal, the women are very skillful.",,,SN000012
XV000013,mue,Miyo catsa patiopica arrto florrcunami abin.,,,There are a lot of flowers out on my patio.,,,SN000013 ; SN002208 ; SN003189
XV000014,mue,"Pero asi parlantepi abitsanllamari ""trabajo abin, salinguichi"" detsishpa.",,,"But over the speaker they announce, ""There's work, come out!"".",,,SN000014
XV000015,mue,Todo este mes de julio todaviaran fiestaca habin aquimanca habitaca.,,,They still have festivals here throughout the month of July.,,,SN000015
XV000016,mue,Hasillata mejoramiento de abitacioncunatapash de nuevo.,,,"At just like that, we have improved our lodging as well.",,,SN000016
XV000017,mue,Ese animalcunapa cacaca abonopamy bueno.,,,Animal feces makes for good fertilizer.,,,SN000017 ; SN000440
XV000018,mue,"Ella carin aborrita aburricarca, ""Dejaymanmi mejores morichunpay!""",,,"When she was in a bad mood, she would say, ""Just let that kid die!"".",,,SN000018 ; SN000019
XV000019,mue,Ay catsa lado arribahuapi abrasariashca ya salishca.,,,"Right up there on the side of the house, they had hugged and left.",,,SN000020
XV000020,mue,Mio nietaca abrasota dahuan.,,,My grandson gives me a hug.,,,SN000021
XV000021,mue,Este huahuataca abriganami no gripe dachun.,,,"This child needs to say warm, so she/he doesn't get a cold.",,,SN000022
XV000022,mue,Mes de Abrilta Mayotaca guerba abicpi mas bueno feriaca.,,,"During the months of April and May, when there is a lot of herb, the outdoor market is better.",,,SN000023
XV000023,mue,Catsata hatsingapaca pimerito cementota abrircanchi asadonhuan cabashpa.,,,"To build a house, the first thing that we do is to open the cement bag with a hoe.",,,SN000024 ; SN000284
XV000024,mue,Ese corralca abrishcami.,,,It turns out the corral had been opened.,,,SN000025
XV000025,mue,Ese catsapa acabadocunaca faltan.,,,The house is missing the finishings.,,,SN000026 ; SN003190
XV000026,mue,Miyo hermanocuna antes abansarca escuelata acabangapa.,,,At least my siblings were able to finish school.,,,SN000027
XV000027,mue,Ahoraca guiernocunapish bago bagoshnaca acasocho ayudanga.,,,"Nowadays, my children-in-laws are so lazy; as if they'd ever think to help out.",,,SN000028
XV000028,mue,Juanca lisiadomi quedarca accidente despues.,,,Juan was left injured after the accident.,,,SN000029 ; SN001592
XV000029,mue,Ellaca acelgatami ponirca comidapica.,,,She put Swiss chard on the food.,,,SN000030
XV000030,mue,Entonces ahorami hablagrini acerca de mediano conpadrecunata cogingapa matrimoniopa.,,,Now I am going to talk about a gift called the mediano that a Godfather has to prepare for a wedding.,,,SN000031
XV000031,mue,Chachay!,,,It's so cold!,,,SN000032
XV000032,mue,Dinochepish nobiataca nobiapa achimamacunami altarta atsin.,,,"In the evening, the bride's godmothers make her an alter.",,,SN000033
XV000033,mue,Ese acialguanca pelaren pelarenmi pegan.,,,"With the whip, they strike them until they peel.",,,SN000034
XV000034,mue,Ese aciendapyca arto arto borregomy abin.,,,There are a lot of sheep on that farm.,,,SN000035
XV000035,mue,Aquipica las cincota ya aclarajun.,,,"Here, the sun comes up around 5 am.",,,SN000036
