ID,Description,Entry_ID,Comment,Synonym,alt_translation1,alt_translation2
SN000001,ah,aah,Muletilla o interjección que indica admiración o sorpresa.,,aah,"aa, ay"
SN000002,below,abajo,,,abajo,ura
SN000003,advance to,abansana,,,avanzar,abansana
SN000004,Abatac,Abatac,Nombre de una comunidad ubicada en Imbabura.,,Abatac,Abatac
SN000005,bee,abeja,,,abeja,chuspi
SN000006,oats,abena,,,avena,abena
SN000007,fan (for fanning a fire),abentador,Objeto hecho de totora que se usa principalmente para avivar el fuego.,,aventador,abentador
SN000008,fan (fan a fire),abentana,,,aventar,abentana
SN000009,when there was,abeuras,"Palabra que se encuentra casi siempre con el pluralizador del español ""s"".",,"cuando había, este tiempo, cuando hay","tiauras, tiarca"
SN000010,open (adj),abierto,,abrishca,abierto,pascashca
SN000011,"Abijo Pata, Abejo Pata",Abijo_Pata,"Nombre de una quebrada ubicada al este de Pijal (hacia la Panamericana). Se usa la abreviación: ""Abijo"".",,Abijo Pata,Abijo Pata
SN000012,"skillful, able",abil,,,hábil,"ali, apurada (tijingapa)"
SN000013,"there is, there are",abina,,,haber,tiana
SN000014,"inform, advise, let know",abisana,,,"avisar, informar",vilana
SN000015,"there should be, there is/ is not",abita,,,"ha de haber, (sí/ no) hay",tiyataca
SN000016,room (e.g. bedroom),abitacion,,,habitación,abitacion
SN000017,"manure, fertilizer",abono,,majada,abono,huano
SN000018,"angry, annoyed, irritated",aborri,,,"iras, enojado, enfadado, aburrido","culera, aburri"
SN000019,"anger, annoy, irritate",aborrina,,colerana ; enojana ; pujana ; resentina,"aborrecer, enojar",aborrena
SN000020,hug,abrasana,Verbo usado con el reflexivo -ri,,abrazar,ucllana
SN000021,hug,abraso,,,abrazo,ucllay
SN000022,keep something warm,abrigana,,,abrigar,conucchina
SN000023,April,abril,Mes del año.,,abril,abril
SN000024,open,abrina,,,abrir,pascana
SN000025,open,abrishca,,abierto,abierto,pascashca
SN000026,finishings,acabado,Es el recubrimiento final usado en construcción o en el acabado de una casa.,,acabados,acabado
SN000027,finish,acabana,,,acabar,tucuchina
SN000028,as if,acasu,Adverbio que se usa frecuentemente con el sufijo de negación -chu.,,"como si, acaso",acatsu
SN000029,accident,accidente,,,accidente,"accidente, llaqui"
SN000030,chard (Swiss),acelga,Vegetal con hojas que es un alimento básico de la región.,,acelga,acelga
SN000031,about,acerca,Es más común encontrar el sufijo: manta.,,acerca (de),-manta (jipa palabramanta)
SN000032,It's so cold!,achachay,,,"qué frio!, achachay!",achachay!
SN000033,godmother,achimama,,,comadre,achimama
SN000034,whip,acial,,,"acial, látigo",atseal
SN000035,"ranch, farm",acienda,,,hacienda,atsenda
SN000036,"dawn, brighten",aclarana,,amanecena,aclarar,punchayana
SN000037,"choose, select, pick from",acllana,"Es más común encontrar el verbo: ""escogina"".",,"escoger, seleccionar","hacllana, japina"
SN000038,how much (does it cost)?,acomo,"Palabra compuesta derivada del español: ""a + cómo"".",,"cuánto (cuesta)?, a cómo (está)?",mashna (balin)
SN000039,"fix, improve",acomodana,,,"arreglar, acomodar, mejorar","alichina, acomodana"
SN000040,"accompany, go with someone",LX000001,,,acompañar,cumpañana
SN000041,"attendant, guest",LX000002,,,"acompañante, invitado",cumbana
SN000042,accordion,acordion,Es un instrumento musical de viento.,,acordeón,acordion
SN000043,"remember, recall",acorrdana,"Verbo que se encuentra a menudo con el reflexivo ""-ri"".",,"recordar, acordar (memoria)",yuyarina
SN000044,accustom,acostumbrana,,,acostumbrar,cushtumbrana
SN000045,activity,actibidad,,,actividad,rrurana
SN000046,present (e.g. today's day and age),actual,,,"actual, presente","cunan tiempo, cunan punlla"
SN000047,update,actualisana,,,actualizar,actualisana
SN000048,"follower, believer",adelantador,,,"adelantador, creyente, adepto",ñaupador
SN000049,"move ahead, go forward",adelantana,,,adelantar,ñaupana
SN000050,before,LX000003,,antes,antes,"ñaupa, nara"
SN000051,"ahead, in front of",LX000004,,,adelante,ñaupac
SN000052,moreover,ademas,,,además,ashta
SN000053,inside,adentro,,,"adentro, dentro",ucu
SN000054,guess,adivinana,,,adivinar,"yachana, adivinana"
SN000055,administration,administracion,,,administración,administracion
SN000056,adobe,adobe,,,adobe,adubi
SN000057,effort,afan,,,afán,munai
SN000058,sharpen,afilana,,,afilar,afilana
SN000059,loosen,aflojana,,,aflojar,"aflojana, flojoyachina"
SN000060,bran (grain),afrecho,Nombre coloquial que se usa para el salvado de trigo y cebada.,,afrecho,afrechu
SN000061,"bend over, hunch over, duck",agachana,,,agachar,comurina
SN000062,"take, grab",agarrana,,,agarrar,japina
SN000063,"agony, pain",agonias,"Palabra que se encuentra casi siempre con el pluralizador del español ""s"".",,"agonía, sufrimiento","agonias, huañunayai"
SN000064,August,agosto,Mes del año.,,agosto,agustu
SN000065,gratitude,agradesimiento,,amamiya,agradecimiento,agradisimientu
SN000066,thank,agradesina,,,agradecer,agradesina
SN000067,agriculture,agricola,,,agrícola,"agricula, alpa"
SN000068,farmer,agricultor,,trabajador,agricultor,alpallancadur
SN000069,agriculture,agricultura,,,agricultura,alpallancay
SN000070,sour,agrio,,,agrio,"jayac, agriu"
SN000071,water,agua,,yacu,agua,yacu
SN000072,avocado,aguacate,,,aguacate,aguacate
SN000073,"watered-down, watery, weak (taste)",aguado,,chuya,aguado,"ahuadu, yaculla"
SN000074,"support, put up with",aguantana,,,"aguantar, soportar",ahuantana
SN000075,"downpour, rain shower",aguasero,,,aguacero,jatun tamia
SN000076,sharp,agudo,,,agudo,"ahudu, filu"
SN000077,"grand-mother, grandma",aguela,,,abuela,"jatucu, jatumama"
SN000078,"grandma, granny",aguelita,,,abuelita,"jatumamagu, jatumamita"
SN000079,"grandpa, gramps",aguelito,,,abuelito,jatutaiticu
SN000080,"grand-father, grandpa",aguelo,,,abuelo,jatuntaita
SN000081,eagle,aguila,,,águila,anga
SN000082,needle,aguja,,,aguja,"auja, aguja"
SN000083,save,ahorrana,,,ahorrar,huacaychina
SN000084,water,ahua,,,agua,yacu
SN000085,meat,aicha,,carne,carne,aicha
SN000086,air,aire,,samay,aire,samay
SN000087,"like that, there you go!",aisi,"Palabra compuesta derivada del español: ""ahí + sí"".",,ahí sí,chayca
SN000088,property owned by someone else,ajeno,,,ajeno,ajinu
SN000089,chilli pepper,aji,,,ají,uchu
SN000090,"strain, sift, sieve",ajichana,,cernina,"ahechar, cernir, colar",shushuna
SN000091,garlic,ajo,,,ajo,ajus
SN000092,"out, outside",ajuera,,,afuera,cancha
SN000093,drown,ajugana,,,ahogar,aguarina
SN000094,next to each other,ajuntado,,,"juntos, a lado de, juntado, ajuntado",ajuntado
SN000095,"meet, unite",ajuntana,,amigueriana ; reunina,"juntar, unir",tandana
SN000096,"about to reach X number of years, come to terms with",ajustana,,,ajustar,ajushtana
SN000097,"around, about",al_rededor_de,,,alrededor de,muyunde
SN000098,a (e.g. week),ala,"Palabra compuesta derivada del español: ""a + la"".",,a la (ej. semana),"-ta (semana), -huan"
SN000099,praise,alabana,,,alabar,alabana
SN000100,enough (be),alacantsana,"Verbo que se encuentra frecuentemente con el causativo ""-chi"".",,alcanzar,pactana
SN000101,move to the side,aladiachina,,,"hacer a un lado, arrimar",laduchina
SN000102,in line (e.g. plant seeds one after another),alafila,"Palabra compuesta derivada del español: ""a + la + fila"".",,en fila (ej. sembrar semillas una tras otra),filapi
SN000103,pretty,alajito,,,bonito,"juyaila, alaja"
SN000104,"by force, forcibly, against someone's will",alajuersa,"Palabra compuesta derivada del español: ""a + la + fuerza"".",,"a la fuerza, contra la voluntad",sinchihuan
SN000105,fence (made of wire),alambrado,,alambrashca,alambrado,alambradu
SN000106,wire (a fence),alambrana,,,alambrar (una cerca),alambrana
SN000107,fence (made of wire),alambrashca,,alambrado,alambrado,alambrashca
SN000108,wire (for a fence),alambri,,,"alambre, cerca",alambri
SN000109,at (hour),alas,"Palabra compuesta derivada del español: ""a + las"".",,"a las (hora), con las","-ta (ura pacha), -huan"
SN000110,wings,LX000005,"Palabra que casi siempre se encuentra con el pluralizador del español ""s"".",,alas,alas
SN000111,"appear, show",alayro,,,asomar,"ricurina, alayro"
SN000112,pea,albeja,,,"alverja, arveja",albija
SN000113,warn,albertina,,,advertir,albertina
SN000114,"Alberto, Albert",Alberto,Nombre propio (persona).,,Alberto,Alberto
SN000115,mayor,alcalde,Máxima autoridad política de una municipalidad.,,alcalde,alcalde
SN000116,"in exchange, in return",alcambio,"Palabra compuesta derivada del español: ""al+cambio"".",,"a cambio, al cambio",al cambio
SN000117,make something last (e.g. food),alcansachina,Fusión de alcansana + causativo.,,hacer alcanzar (ej. comida),pactachina
SN000118,"be busy, tire",alcansadito,"Palabra compuesta derivada del español: ""al+cansado+DIM"".",,"estar ocupado, cansar",pactashcalla (ashta)
SN000119,"able to get, reach, achieve",alcansana,,,alcanzar,pactana
SN000120,sewer,alcantarilla,,,alcantarilla,alcantarilla
SN000121,"happy, content",alegre,,,"contento, alegre, feliz",cushi
SN000122,allergy,alergia,,,alergia,uguy
SN000123,literacy,alfabetisasion,,,alfabetización,alfabetisasion
SN000124,"alfalfa, lucerne",alfalfa,Planta común de la región que se utiliza en su mayoría como pasto.,,alfalfa,"alfalfa, alfajigua"
SN000125,in the end,alfin,"Palabra compuesta derivada del español: ""al + fin"".",,al fin,alfin
SN000126,"carpet, rug",alfombra,,,alfombra,alfombra
SN000127,"Alfred, Alfredo",Alfredo,Nombre propio (persona).,,Alfredo,Alfredo
SN000128,"some, something",algo,,,algo,"imagu, huaquin"
SN000129,cotton,algodon,,,algodón,algodon
SN000130,someone,alguien,,,alguien,pi
SN000131,some,algun,,,algún,huaquin
SN000132,some,alguna,,,alguna,huaquin
SN000133,"few (a) (e.g. people, things)",algunitos,"Se encuentra casi siempre con el pluralizador del español ""s"".",,algunitos,huaquingucuna
SN000134,some,alguno,,,alguno,huaquin
SN000135,feed,alimentana,"Se encuentra a menudo con el reflexivo ""-ri"".",,alimentar,micurina
SN000136,food,alimento,,,alimento,micuna
SN000137,align,LX000006,,,aliñar,salana
SN000138,"alder, black alder",aliso,Árbol nativo de la región. Nombre científico: alnus acuminata.,,aliso,aliso
SN000139,to get ready,alistana,,,alistar,lishtiana
SN000140,juvenile fish,aliven,,,alevín,"aliven, huahua chalhua"
SN000141,soul,alma,,,alma,"alma, aya"
SN000142,lunch,almueso,,,almuerzo,almuerso
SN000143,to eat lunch,almursana,,,almorzar,almostana
SN000144,lodging,alojamiento,,,alojamiento,migarishca
SN000145,at least,alomenos,"Palabra compuesta derivada del español: ""a + lo + menos"". Se encuentra también como ""almenos"".",,"a lo menos, al menos",masqui
SN000146,"Alonzo, Alonso",Alonso,Nombre propio (persona).,,"Alonzo, Alonso","Alonzo, Alonso"
SN000147,the next day,alotrodia,"Palabra compuesta derivada del español: ""al + otro + día"".",,al otro día,cayandi punlla
SN000148,land,alpa,,terreno,terreno,alpa
SN000149,sandals,alpargates,"Tipo de calzado, hecho de yute y muy usados en la región.",,"alpargates, alpargatas, sandalias",ushuta
SN000150,landowner,alpayu,,terrenoyu,dueño de un terreno,alpayuc
SN000151,rent,alquilana,,,alquilar,alquilana
SN000152,"upside down, inside out",alrebes,"Palabra compuesta derivada del español: ""al + revés""",,al revés,shucladuman
SN000153,"pick up, get up, stand up, increase",alsana,,,"alzar, parar, incrementar","alsana, jatarina, shayachina"
SN000154,altar,altar,,,altar,altar
SN000155,alternative,alternativa,,,alternativa,"shucusa, alternativa"
SN000156,"tall, large, high",alto,,,"alto, grande",jatun
SN000157,"lighten up (e.g. firefly), light up",alumbrana,,,alumbrar,punchayachina
SN000158,friendly,amable,,,gentil,"cushilla, ali"
SN000159,"thanks, appreciation, gratitude",amamiya,,agradesimiento,"agradecimiento, gracias",amamiyagu
SN000160,"dawn, brighten",amanecena,,aclarana,amanecer,punllayana
SN000161,yellow,amarillo,,,amarillo,quillu
SN000162,tie up (e.g. with rope),amarrana,,,amarrar,huatana
SN000163,Amazon,amazonia,Región geográfica natural.,,Amazonía,amazonia
SN000164,Ambato,Ambato,Nombre de ciudad (provincia de Tungurahua).,,Ambato,Ambato
SN000165,both,ambos,,,"ambos, los dos",ishcandi
SN000166,hungry (be),ambrena,,,tener hambre,yarjana
SN000167,starving (m),ambrienta,,,hambrienta,yarjanapaya
SN000168,starving (f),ambriento,,,hambriento,yarjai
SN000169,Amelia,Amelia,Nombre propio (persona).,,Amelia,Amelia
SN000170,friend (f),amiga,,,amiga,"cumba, amiga"
SN000171,friend (m),amigo,,,amigo,"cumba, amigo"
